PSA-Nr.;Aufstellort;Bezirk/Gebiet;Abschnitt/-von;Abschnitt/-bis;Stellplätze;Roter Punkt;Gebuehrenzeit;Gebuehr je 15 Minuten;HPD/Std.;Tagesgebuehr;Tarifzone;GeoKoordinateNord;GeoKoordinateOst
60;Ohmstr. 16;Südliche Neustadt II;Bonner Wall;Rolandstr.;30;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200091;6,9547114
61;Zugweg 42;Südliche Neustadt II;Bonner Wall;Haus Nr. 44;10;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9200091;6,9547114
62;Zugweg 29-31;Südliche Neustadt II;Bonner Wall;Rolandstr.;15;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,918944;6,958191
63;Zugweg 48;Südliche Neustadt II;Bucht;;18;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,91763;6,95637
64;Rolandstr. 9 Insel;Südliche Neustadt II;Ohmstr.;Bonner Str.;24;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,937531;6,9602786
65;Rolandstr. 8-10 Insel;Südliche Neustadt II;Zugweg;Ohmstr.;45;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,91865032;6,95783267
66;Merowingerstr. 4;Südliche Neustadt II;Elsaßstr.;Bonner Str.;29;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9209323;6,9580741
67;Merowingerstr. 22;Südliche Neustadt II;Elsaßstr.;Vondelstr.;18;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9206267;6,9567364
68;Merowingerstr. 50;Südliche Neustadt II;Vondelstr.;Rolandstr.;25;SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,920036;6,955654
69;Ubierring 48;Südliche Neustadt II;Mainzer Str.;Trajanstr.;25;SÜD II + SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9216806;6,9653243
70;Kartäuserwall 10;Severinsviertel;Haus Nr. 20;Severinstr.;34;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,922173;6,9584537
71;Severinstr. 82;Severinsviertel;Kartäuserhof;Jakobstr.;5;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,92562607;6,95835229
72;Frankfurter Str. 182 Porz-Wahn;Porz;ggü. Heidestr.;;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8566913;7,08670263
73;Severinstr. 99;Severinsviertel;Jakobstr.;Josephstr.;9;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,926303;6,9580324
74;Severinstr. 121;Severinsviertel;Josephstr.;Im Dau;15;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,92695;6,9577583
75;Severinstr. 165;Severinsviertel;Im Dau;An St. Katharinen;13;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,92695;6,9577583
76;Achterstr. 52;Severinsviertel;Landsbergstr.;Rosenstr.;47;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92695;6,9577583
77;Achterstr. 29 Platz;Severinsviertel;Rosenstr.;Achtergäßchen;53;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
78;Im Ferkulum 14;Severinsviertel;Silvanstr.;Severinswall;9;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
79;Severinswall 4 Platz;Severinsviertel;Parkplatz;;10;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
80;Alteburger Str. 14;Severinsviertel;Ubierring;Severinswall;52;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9217251;6,9614756
81;Dreikönigenstr. 40;Severinsviertel;Bayenstr.;Zwirnerstr.;14;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,8716712;6,9574679
82;freie Nummer (ehemals Ubierrring 53);Severinsviertel;Am Bayenturm;An der Bottmühle;17;SEV + SÜD II;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,8716712;6,9574679
83;An der Bottmühle 6;Severinsviertel;Ubierring;Severinswall;35;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,8716712;6,9574679
84;An der Bottmühle 7;Severinsviertel;Ubierring;Severinswall;33;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,8716712;6,9574679
85;Severinskirchplatz 6;Severinsviertel;Im Ferkulum;Severinstr.;22;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9231839;6,9594955
86;Kartäusergasse 7;Severinsviertel;Jakobsstr.;Kartäuserhof;6;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9231839;6,9594955
87;Josephstr. 8 Platz;Severinsviertel;Platz;;28;SEV;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,9231839;6,9594955
88;Josephstr. 8 Parkpalette unten;Severinsviertel;Platz;;80;SEV;Mo-Sa 09:00 - 23:00;1,00 €;14;;500016;50,92616137;6,95682205
89;Ulrichgasse 2;Severinsviertel;Nebenanlage;;29;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92462821;6,95319761
90;Annostr. 78;Severinsviertel;Dreikönigenstr.;Biberstr.;30;SEV;Mo-Sa 09:00 - 23:00;1,00 €;2;;500041;50,92452;6,95338
91;Drususgasse 9-11;City/Martinsviertel;Minoritenstr.;An der Rechtschule;29;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93967;6,9539
92;An der Rechtschule WDR;City/Martinsviertel;Mariengartengasse;Richartzstr.;14;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,94014;6,9543
93;An der Rechtschule Museum;City/Martinsviertel;Drususgasse;Richartzstr.;27;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,94024;6,95461
94;Danziger Str. ggü. 34;Weiden-Süd;Bunzlauer Str.;Tilsitter Weg;3;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9372713;6,8407465
95;Ostlandstr. 14;Weiden-Süd;Breslauer Str.;Königsberger Str.;8;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,93582;6,84212
96;Neven-du-Mont-Str. 5;Nördlich Neumarkt;Kupfergasse;Breite Str.;19;NEU;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93962173;6,95049324
97;Kleiner Griechenmarkt 69;Griechenmarktviertel;Großer Griechenmarkt;Thieboldsgasse;29;GRI;Mo-Sa 09:00 - 23:00;1,00 €;2;;500041;50,93121637;6,94815588
98;Siegburger Str. 363;Porz;;;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,92452;6,95338
99;Siegburger Str. 366;Porz;;;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9115481;6,9910828
100;Rathausstr. 2;Porz;;;32;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,88588;7,05443
101;Karlstr. 16;Porz;;;20;;Mo-Fr 09:00 - 19:00 + Sa 09:00 - 16:00;0,50 €;2;;500023;50,88548922;7,05677732
102;Josefstr. 18;Porz;;;13;;Mo-Fr 08:00 - 19:00 + Sa 08:00 - 16:00;0,50 €;0;;500031;50,88412;7,05781
103;Kaiserstr. 3;Porz;;;26;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,8810344;7,0807246
104;Am Trutzenberg ggü. Spielplatz;Pantaleonsviertel;Sachsenring;Kartäuserwall;29;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9269744;6,9478133
105;Pantaleonswall A;Pantaleonsviertel;Waisenhausgasse;Am Trutzenberg;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9279864;6,9451271
106;Waisenhausgasse 70;Pantaleonsviertel;Pantaleonswall;Salierring;15;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9267288;6,9466773
107;Am Trutzenberg ggü. 48;Pantaleonsviertel;Vor den Siebenburgen;Kartäuserwall;16;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
108;Kartäuserwall 40 Schule;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;41;PAN;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9264946;6,9484461
109;Kartäuserwall 40;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;24;PAN;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,92639575;6,94849446
110;Kartäuserwall 41;Pantaleonsviertel;Am Trutzenberg;Ulrichgasse;11;PAN;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,9264473;6,9484855
111;Vor den Siebenburgen 6;Pantaleonsviertel;Ulrichgasse;Schnurgasse;13;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9264473;6,9484855
112;Schnurgasse ggü. 49;Pantaleonsviertel;Steinstr.;Paulstr.;30;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
113;Heinrichstr. 42;Pantaleonsviertel;Martinsfeld;Steinstr.;11;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
114;Wilhelm-Hoßdorf-Str. 1;Pantaleonsviertel;Friedenstr.;Schnurgasse;32;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
115;Ankerstr. 15;Pantaleonsviertel;Schnurgasse;Ulrichgasse;12;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
116;Waisenhausgasse 43;Pantaleonsviertel;Martinsfeld;Vor den Siebenburgen;46;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9282845;6,9489335
117;Waisenhausgasse 52;Pantaleonsviertel;Vor den Siebenburgen;Pantaleonswall;10;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
118;Waisenhausgasse 65;Pantaleonsviertel;Vor den Siebenburgen;Pantaleonswall;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
119;Trierer Str. 8;Pantaleonsviertel;Waisenhausgasse;Am Weidenbach;38;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9278392;6,9462351
120;Am Weidenbach 29;Pantaleonsviertel;Trierer Str.;Am Pantaleonsberg;16;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9278392;6,9462351
121;Pantaleonstr. 16;Pantaleonsviertel;Waisenhausgasse;Rothgerberbach;20;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9278392;6,9462351
122;Rothgerberbach 3;Pantaleonsviertel;Pantaleonstr.;Waisenhausgasse;14;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9278392;6,9462351
123;Blaubach 9;Pantaleonsviertel;Perlengraben;Tel-Aviv-Str.;8;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93106984;6,95303516
124;Mengelbergstr. 1;Pantaleonsviertel;Tel-Aviv-Str.;Perlengraben;9;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9278392;6,9462351
125;Olpener Str. 803 Platz;Kalk;;;22;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9278392;6,9462351
126;Gudrunstr. 2;Rodenkirchen;;;28;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9278392;6,9462351
127;Oststr. 13;Rodenkirchen;Barbarastr.;Parkplatz 21;9;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9354467;6,8411195
128;Liverpooler Platz;Chorweiler;Platzfläche;;45;;"Mo-Mi+Fr 09:00 - 20:00; Do + Sa 15:00 - 20:00";0,50 €;4;;500028;51,02116;6,897974
129;Kerpener Str. 2;Lindenthal Süd I;Meister-Ekkehard-Str.;Universitätsstr.;8;Lind-S I;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9354467;6,8411195
130;Riehler Str.;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,9354467;6,8411195
131;Berrenrather Str. 161;Sülz-Nord I;Arnulfstr.;Konradstr.;18;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9209052;6,92853958
132;Berrenrather Str. 230;Sülz-Nord I;Gustavstr.;Marsiliusstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,91882128;6,9258924
133;Berrenrather Str. 201;Sülz-Nord I;Nikolausplatz;Wittekindstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,91869156;6,92590524
134;Berrenrather Str. 213;Sülz-Nord I;Wittekindstr.;Sülzburgstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,91803707;6,92502644
135;Berrenrather Str. 359;Sülz-Nord II;Gerolsteiner Str.;Manderscheider Pl.;23;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,91561868;6,92247126
136;Zülpicher Str. 337;Lindenthal Süd II;Sülzburgstr.;Gerolsteiner Str.;19;Lind-S II + Sülz-N II;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,92073104;6,9172638
137;Zülpicher Str. 296;Lindenthal Süd II;Jos.-Stelzmann-Str.;Leichtensternstr.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,92248771;6,92237667
138;Zülpicher Str. 257;Lindenthal Süd I;Ägidiusstr.;Redwitzstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9228404;6,92359734
139;Zülpicher Str. 272;Lindenthal Süd I;Robert-Koch-Str.;Jos.-Stelzmann-Str.;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,92287082;6,92341467
140;Zülpicher Str. 239;Lindenthal Süd I;Weyertal;Ägidiusstr.;19;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,92330093;6,92499515
141;Zülpicher Str. 236;Lindenthal Süd I;Weyertal;Robert-Koch-Str.;17;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9238711;6,9261887
142;Bonner Wall;Südliche Neustadt II;Wormser Str.;Bonner Str.;;SÜD II;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9170007;6,9557579
