,objectid,bezeichnung,nr_stadtbezirk,stadtteil,anzahl,bemerkung,x,y,type
289,306,Martinstr./Obermarspforten,1,Altstadt/Nord,2,Martinstr. 39,6.9588012390665535,50.937429117628554,disabled parking slot
290,307,Mauritiuskirchplatz,1,Altstadt/Süd,1,Mauritiuskirchplatz,6.943938484171209,50.93351993345807,disabled parking slot
291,308,Maybachstr. (MediaPark Klinik),1,Neustadt/Nord,2,Maybachstr. (MediaPark Klinik),6.947855389746284,50.948284626286046,disabled parking slot
292,309,Merowinger Str. 57,1,Neustadt/Süd,1,Merowinger Str. 57,6.955782798663124,50.92025922506983,disabled parking slot
293,310,Merowinger Str. 5-7,1,Neustadt/Süd,1,Merowinger Str. 5-7,6.9586365397564,50.92084094855827,disabled parking slot
294,311,Mittelstr./Apostelnkloster,1,Altstadt/Nord,2,Mittelstr./Apostelnkloster,6.943670733131287,50.9368714046297,disabled parking slot
295,312,Moltkestr. 88,1,Neustadt/Nord,1,Moltkestr. 88,6.932782055639149,50.93970676480498,disabled parking slot
296,313,Mörsergasse (gegenüb. WDR),1,Altstadt/Nord,1,Mörsergasse (gegenüb. WDR),6.951941383303822,50.93962718012496,disabled parking slot
297,314,Neumarkt (Westseite Westfb.),1,Altstadt/Nord,2,Neumarkt (Westseite Westfb.),6.945986366678004,50.936234924573334,disabled parking slot
298,315,Neusser Wall,1,Neustadt/Nord,1,Neusser Wall,6.958031710554072,50.955712899137346,disabled parking slot
299,316,Neven-Du-Mont-Str.,1,Altstadt/Nord,1,Neven-Du-Mont-Str.,6.950680766124272,50.93921457408097,disabled parking slot
300,317,Pastor-Könn-Platz (Neumarkt 24),1,Altstadt/Nord,2,Pastor-Könn-Platz (Neumarkt 24),6.945705121714728,50.936522968725335,disabled parking slot
301,318,Prälat-Otto-Müller-Platz,1,Neustadt/Nord,1,Prälat-Otto-Müller-Platz,6.9537175669315765,50.95450339030863,disabled parking slot
302,319,Reichenspergerplatz (vor Gericht),1,Neustadt/Nord,2,Reichenspergerplatz (vor Gericht),6.962889988951231,50.95445875302946,disabled parking slot
303,320,Reischplatz/Deutzer Freiheit,1,Deutz,1,Reischplatz/Deutzer Freiheit,6.97652381418134,50.936778370282816,disabled parking slot
304,321,Sachsenbergstr. (Thermalbad Köln-Deutz),1,Deutz,5,Sachsenbergstr. (Thermalbad Köln-Deutz),6.980233895709097,50.95110994002164,disabled parking slot
305,323,Schillingstr./Riehler Str.,1,Neustadt/Nord,1,Schillingstr./Riehler Str.,6.960122795435477,50.95203199544634,disabled parking slot
306,324,Siegfriedstr. geg. Nr. 15,1,Neustadt/Süd,2,Siegfriedstr. geg. Nr. 15,6.962708308178624,50.91754324078775,disabled parking slot
307,325,Spielmannsgasse,1,Altstadt/Süd/Süd,2,Spielmannsgasse,6.959253950064757,50.92924705349715,disabled parking slot
308,326,St.-Apern-Str. 44-46,1,Altstadt/Nord,1,St.-Apern-Str. 44-46,6.946177701102389,50.94025030700885,disabled parking slot
