,Parkhaus,Art,Adress,Betriebszeit,Weitere Datei,Freie Plätz
26,Kaiser-Wilhelm-Ring,Tiefgarage,Kaiser-Wilhelm-Ring 2650672 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 600 Weitere Informationen",374
27,Klapperhof,Tiefgarage,Im Klapperhof 1350670 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2 MeterStellplätze: 459 Weitere Informationen",200
28,Maastrichter Straße,Parkhaus,Maastrichter Straße 1050672 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,60 MeterStellplätze: 684 Weitere Informationen",268
29,Mediapark,Tiefgarage,Im Mediapark 550670 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 1.526 Weitere Informationen",312
30,Ring Karree,Tiefgarage,Im Klapperhof 4950670 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,20 MeterStellplätze: 483",158
31,Rudolfplatz,Tiefgarage,Habsburgerring 9-1350674 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,80 Meter Einfahrtsbreite: 2,80 MeterStellplätze: 400 Weitere Informationen",180
32,Sparkasse KölnBonn,Tiefgarage,Schaafenstraße 5650676 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 240",0
33,Köln Arcaden,Parkhaus/Tiefgarage,Barcelona Allee 651103 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 2,10 Meter Einfahrtsbreite: 2,20 MeterStellplätze: 1.800 Weitere Informationen",1344
34,LANXESS arena ,Parkhaus,Opladener Straße 50679 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 1.748 Weitere Informationen",11596
35,LANXESS arena ,Tiefgarage,Opladener Straße 50679 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 266 Weitere Informationen",2119
36,LANXESS arena ,Tiefgarage,Gummersbacher Straße 50679 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 MeterStellplätze: 309 Weitere Informationen",4306
37,Stadion P (P+R),P+R-Anlage,Aachener Straße 100350933 Köln,"Montag bis Freitag, 6 bis 24 UhrSamstag, 7 Uhr bis eine Stunde nach GeschäftsschlussSonntag, 6 bis 22 Uhr",Einfahrtshöhe: 2 Meter Einfahrtsbreite: 3 MeterStellplätze: 560,2
38,Stadion P,Parkplatz,Alter Militärring 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 550,152
39,Stadion P,Parkplatz,Willi-Schwarz-Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 1.000,3170
40,Stadion P,Parkplatz,Walter-Binder-Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 550,4178
41,Stadion P,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 1.000,61000
42,Stadion P,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 1.000,7480
43,Stadion P Bus,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 80,8
44,Stadion P Pkw,Parkplatz,Salzburger Weg 50933 Köln,Wird nur bei Veranstaltungen im RheinEnergieSTADION geöffnet.,Stellplätze: 650,8
45,Am Zoo,Parkhaus,Riehler Straße 19050735 Köln,"Montag bis Freitag, 6 bis 22 Uhr Samstag und Sonntag, 9 bis 18:30 Uhr","Einfahrtshöhe: 2 Meter Einfahrtsbreite: 2,70 MeterStellplätze: 392 Weitere Informationen",0
46,Marsdorf/Haus Vorst,P+R-Anlage,Emmy-Noether-Straße 50858 Köln,"Montag bis Sonntag, durchgehend geöffnet","Einfahrtshöhe: 1,90 Meter Einfahrtsbreite: 2,50 MeterStellplätze: 621",609
